Department  ,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Executive Zoo-HorticultureSvcs,Groundskeeper,Permanent Full-time,04/19/2021,04/19/2021,Nonexempt,26832.00
Executive Zoo-HorticultureSvcs,Horticulture Technician,Permanent Full-time,04/24/2021,04/24/2021,Nonexempt,28955.85
Executive Zoo-HorticultureSvcs,Horticulture Technician,Permanent Full-time,05/30/2017,05/30/2017,Nonexempt,29392.28
Executive Zoo-HorticultureSvcs,Groundskeeper,Permanent Full-time,07/25/2002,07/25/2002,Nonexempt,29430.65
Executive Zoo-HorticultureSvcs,Horticulture Technician,Permanent Full-time,07/07/2009,06/01/2015,Nonexempt,29990.94
Executive Zoo-HorticultureSvcs,Crew Leader II,Permanent Full-time,11/03/2003,07/28/2016,Nonexempt,39622.37
Executive Zoo-HorticultureSvcs,Horticulturist,Permanent Full-time,01/06/2014,01/06/2014,Exempt,59533.77
FR-Four for Life Grant,Business Analyst,Intermittent Temporary,02/08/2007,02/08/2007,Nonexempt,47.34
Finance - Director's Office,Management Analyst I,Permanent Full-time,11/09/2015,11/26/2018,Exempt,44581.14
Finance - Director's Office,Executive Assistant,Permanent Full-time,02/04/2002,10/23/2015,Nonexempt,53681.06
Finance - Director's Office,Risk Analyst,Permanent Full-time,03/13/2021,03/13/2021,Exempt,70000.00
Finance - Director's Office,Management Analyst III,Permanent Full-time,08/14/2017,08/14/2017,Exempt,71527.50
Finance - Director's Office,Debt Manager,Permanent Full-time,02/19/2014,06/08/2015,Exempt,80000.00
Finance - Director's Office,Risk Manager,Permanent Full-time,05/28/2019,05/28/2019,Exempt,93840.00
Finance - Director's Office,Bureau Manager,Permanent Full-time,10/25/2013,12/18/2018,Exempt,102831.06
Finance - Director's Office,Assistant Director,Permanent Full-time,10/26/2009,06/20/2016,Exempt,130050.00
Finance - Director's Office,Director of Finance,Permanent Full-time,12/18/1992,01/08/2016,Exempt,152813.95
Finance City Controller,Sr Accountant I (Fin only),Permanent Full-time,10/15/1993,02/03/2005,Exempt,45244.34
Finance City Controller,Collection Coord,Permanent Full-time,02/27/2017,02/27/2017,Exempt,47913.54
Finance City Controller,Payroll Specialist,Permanent Full-time,11/13/2018,11/13/2018,Exempt,47940.00
Finance City Controller,Payroll Specialist,Permanent Full-time,12/19/2020,12/19/2020,Exempt,48000.00
Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,07/31/2017,04/30/2018,Exempt,48779.46
Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,09/12/2020,09/12/2020,Exempt,48779.48
Finance City Controller,Payroll Specialist,Permanent Full-time,05/29/2018,01/15/2021,Exempt,48898.00
Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,11/29/2004,06/26/2017,Exempt,50743.74
Finance City Controller,Collection Coord,Permanent Full-time,09/08/2015,09/08/2015,Exempt,51199.04
Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,04/27/2015,12/12/2016,Exempt,51758.67
Finance City Controller,Collection Coord,Permanent Full-time,12/01/2014,12/01/2014,Exempt,52223.02
Finance City Controller,Sr Accountant III (Fin only),Permanent Full-time,01/09/2017,09/17/2018,Exempt,58000.00
Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,12/01/2014,06/30/2021,Exempt,66537.74
Finance City Controller,Payroll Administrator,Permanent Full-time,01/22/2018,04/30/2018,Exempt,67320.00
Finance City Controller,Payroll Administrator,Permanent Full-time,06/23/2015,02/01/2017,Exempt,67626.54
Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,04/02/2018,04/10/2021,Exempt,72500.00
Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,07/09/2007,10/26/2020,Exempt,72500.00
Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,03/05/2018,04/10/2021,Exempt,72500.00
Finance City Controller,Financial Operations Mgr,Permanent Full-time,04/28/2008,12/08/2015,Exempt,77109.73
Finance City Controller,Accounts Payable Manager,Permanent Full-time,06/15/2009,02/02/2015,Exempt,80710.91
Finance City Controller,Sr Accountant V (Fin only),Permanent Full-time,08/07/2017,09/14/2020,Exempt,85000.00
Finance City Controller,Accounts Receivable Manager,Permanent Full-time,03/17/2014,03/17/2014,Exempt,86272.65
Finance City Controller,Payroll Manager,Permanent Full-time,04/20/2015,04/02/2018,Exempt,88434.00
Finance City Controller,Fiscal Systems Manager,Permanent Full-time,09/03/2014,12/08/2015,Exempt,89430.54
Finance City Controller,Sr Accountant V (Fin only),Permanent Full-time,02/15/2013,02/15/2013,Exempt,98265.89
Finance City Controller,"Accounting Manager, Senior",Permanent Full-time,12/14/2015,03/16/2020,Exempt,99000.00
Finance City Controller,City Controller,Permanent Full-time,04/17/2017,04/17/2017,Exempt,112200.00
Finance Purchasing,Administrative Assistant II,Permanent Full-time,09/12/1983,04/16/2015,Nonexempt,48275.96
Finance Purchasing,Buyer II,Permanent Full-time,08/17/2019,08/17/2019,Exempt,52000.00
Finance Purchasing,Buyer II,Permanent Full-time,03/05/2007,12/10/2018,Exempt,52020.00
Finance Purchasing,Buyer II,Permanent Full-time,01/22/2019,01/22/2019,Exempt,53040.00
Finance Purchasing,Procurement Specialist,Permanent Full-time,08/03/2019,08/03/2019,Exempt,60000.00
Finance Purchasing,Procurement Specialist,Permanent Full-time,06/05/2017,06/25/2018,Exempt,71787.60
Finance Purchasing,Procurement Specialist,Permanent Full-time,10/03/2006,08/19/2013,Exempt,72874.89
Finance Purchasing,Purchasing Agent,Permanent Full-time,06/25/2018,06/25/2018,Exempt,111322.80
Finance Purchasing,Chief Procurement Officer,Permanent Full-time,04/30/2018,04/30/2018,Exempt,130050.00
Finance Retirement Bureau,Retirement Benefits Spec I,Permanent Full-time,06/26/2017,06/26/2017,Nonexempt,38083.74
Finance Retirement Bureau,Retirement Benefits Spec II,Permanent Full-time,03/24/2008,03/24/2008,Exempt,41621.10
Finance Retirement Bureau,Accountant IV,Permanent Full-time,07/27/2019,07/27/2019,Exempt,70000.00
Finance Retirement Bureau,Retirement Benefits Admin,Permanent Full-time,06/08/2015,03/30/2019,Exempt,71800.35
Finance Retirement Bureau,Bureau Manager,Permanent Full-time,06/25/2012,01/22/2019,Exempt,104040.00
Fire-Rescue,Administrative Technician,Permanent Full-time,10/09/2000,09/10/2012,Nonexempt,36205.32
Fire-Rescue,Administrative Assistant I,Permanent Full-time,11/27/2017,11/27/2017,Nonexempt,37628.15
Fire-Rescue,Administrative Assistant II,Permanent Full-time,09/11/2006,03/25/2013,Nonexempt,39977.13
Fire-Rescue,Business Analyst,Casual Part-time,02/08/2007,02/08/2007,Nonexempt,40.60
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,06/25/2018,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/20/2020,07/20/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,06/09/2007,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,02/03/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Special Project w/ Retirement,03/02/2019,03/02/2019,Nonexempt,15.70
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,42450.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,03/16/2019,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,03/05/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Special Project w/ Retirement,03/02/2019,03/02/2019,Nonexempt,16.09
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Special Project w/ Retirement,03/02/2019,03/02/2019,Nonexempt,16.09
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Special Project w/ Retirement,03/02/2019,03/02/2019,Nonexempt,16.09
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/09/2017,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Special Project w/ Retirement,03/02/2019,03/02/2019,Nonexempt,16.09
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,03/05/2018,03/05/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Special Project w/ Retirement,11/02/2015,03/02/2019,Nonexempt,16.09
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,43511.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/10/2016,09/17/2018,Nonexempt,44599.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,02/21/2017,01/08/2018,Nonexempt,44599.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,05/08/2006,01/08/2018,Nonexempt,44599.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,05/09/2014,10/12/2019,Nonexempt,44599.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,02/21/2017,01/08/2018,Nonexempt,44599.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/10/2011,12/04/2017,Nonexempt,46829.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/10/2016,10/10/2016,Nonexempt,46829.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,08/08/2011,11/02/2015,Nonexempt,46829.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/10/2016,10/10/2016,Nonexempt,46829.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/24/2016,07/15/2017,Nonexempt,46829.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/22/2013,10/10/2016,Nonexempt,46829.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/10/2016,10/10/2016,Nonexempt,46829.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/10/2016,10/10/2016,Nonexempt,46829.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,10/10/2016,10/10/2016,Nonexempt,46829.00
Fire-Rescue,Management Analyst I,Special Project,09/26/2020,09/26/2020,Exempt,46925.75
Fire-Rescue,Firefighter EMT-I,Special Project w/ Retirement,03/02/2019,03/02/2019,Nonexempt,17.75
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/09/2012,08/06/2018,Nonexempt,48000.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/07/2014,07/07/2014,Nonexempt,48000.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/07/2014,07/07/2014,Nonexempt,48000.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/07/2014,07/07/2014,Nonexempt,48000.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/07/2013,01/07/2013,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/07/2013,01/07/2013,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/09/2012,01/09/2012,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,04/08/2013,04/08/2013,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/10/2011,01/10/2011,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/09/2012,01/09/2012,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,04/08/2013,04/08/2013,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/09/2012,01/09/2012,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/10/2011,01/10/2011,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/09/2012,01/09/2012,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,04/08/2013,04/08/2013,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/07/2013,01/07/2013,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/09/2012,01/09/2012,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,04/08/2013,04/08/2013,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/10/2011,01/10/2011,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/07/2013,01/07/2013,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,08/12/1996,12/04/2017,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/07/2013,01/07/2013,Nonexempt,50400.00
Fire-Rescue,Firefighter EMT-P,Permanent Full-time,04/30/2018,04/30/2018,Nonexempt,50588.00
Fire-Rescue,Firefighter EMT-P,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,50588.00
Fire-Rescue,Firefighter EMT-P,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,50588.00
Fire-Rescue,Firefighter EMT-P,Permanent Full-time,03/02/2019,03/02/2019,Nonexempt,50588.00
Fire-Rescue,Firefighter EMT-P,Special Project w/ Retirement,03/02/2019,03/02/2019,Nonexempt,18.71
Fire-Rescue,Firefighter EMT-P,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,50588.00
Fire-Rescue,Firefighter EMT-P,Permanent Full-time,01/08/2018,01/08/2018,Nonexempt,50588.00
Fire-Rescue,Media & Production Specialist,Permanent Full-time,07/09/2007,07/09/2007,Exempt,51621.34
Fire-Rescue,Firefighter EMT-I,Permanent Full-time,11/02/2015,11/02/2015,Nonexempt,51646.00
Fire-Rescue,Firefighter EMT-I,Permanent Full-time,11/02/2015,11/02/2015,Nonexempt,51646.00
Fire-Rescue,Firefighter EMT-I,Permanent Full-time,10/10/2016,10/10/2016,Nonexempt,51646.00
Fire-Rescue,Firefighter EMT-I,Permanent Full-time,11/02/2015,11/02/2015,Nonexempt,51646.00
Fire-Rescue,Firefighter EMT-I,Permanent Full-time,09/23/2013,11/02/2015,Nonexempt,51646.00
Fire-Rescue,Firefighter EMT-I,Permanent Full-time,10/10/2016,10/10/2016,Nonexempt,51646.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,04/08/2013,04/08/2013,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,04/08/2013,04/08/2013,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/11/2010,01/11/2010,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/11/2010,01/11/2010,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/22/2019,12/21/2019,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,11/23/2007,07/02/2010,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/15/2008,09/15/2008,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/07/2013,01/07/2013,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/11/2010,01/11/2010,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/08/2009,07/02/2010,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/08/2007,09/26/2007,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,11/05/2012,11/05/2012,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/15/2008,09/15/2008,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/15/2008,09/15/2008,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/10/2011,01/10/2011,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,09/15/2008,02/17/2018,Nonexempt,51660.00
Fire-Rescue,Firefighter EMT-I,Permanent Full-time,07/07/2014,07/07/2014,Nonexempt,52937.00
Fire-Rescue,Firefighter EMT-I,Permanent Full-time,07/07/2014,07/07/2014,Nonexempt,52937.00
Fire-Rescue,Firefighter EMT-I,Permanent Full-time,07/07/2014,07/07/2014,Nonexempt,52937.00
Fire-Rescue,Firefighter EMT-I,Permanent Full-time,10/24/2016,08/05/2017,Nonexempt,52937.00
Fire-Rescue,Firefighter EMT-I,Permanent Full-time,04/08/2013,04/08/2013,Nonexempt,52937.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/23/2008,09/23/2008,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,12/23/2000,04/16/2007,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/08/2007,01/08/2007,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/10/2005,01/10/2005,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/05/2009,01/05/2009,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/10/2011,01/10/2011,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,05/23/1998,09/23/2008,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/18/2005,09/23/2008,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/23/2008,09/23/2008,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,07/18/2005,07/18/2005,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,03/20/2006,03/20/2006,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/23/2008,09/23/2008,Nonexempt,54243.00
Fire-Rescue,Firefighter EMT - Advanced,Permanent Full-time,01/23/2008,09/23/2008,Nonexempt,54243.00
